0.24952418	32.83845900	13.53815600	2.45792750	0.94141746	1.41918910	0.16369184	0.15892411	0.16676054	-0.91133297	0.01880816	-0.00099926	0.07883670	1.04413120	0.13641474	-0.01870469	0.08842636
0.26240873	34.53412100	13.68211400	2.42528810	0.95969252	1.42142390	0.16105574	0.15501693	0.16165147	-0.91816810	0.01885213	-0.00100770	0.07514223	1.03418980	0.13830518	-0.00642784	0.08154364
0.27547377	36.25353700	13.81703200	2.39424550	0.97643603	1.42279720	0.15840354	0.15124875	0.15683981	-0.92412340	0.01877014	-0.00101490	0.07167670	1.01811500	0.14022955	0.00618302	0.07553986
0.28871348	37.99594000	13.94396700	2.36484580	0.99176351	1.42340510	0.15575390	0.14763121	0.15233180	-0.92932421	0.01856636	-0.00102059	0.06843676	0.99717659	0.14214501	0.01886017	0.07028966
0.30212214	39.76057600	14.06384400	2.33710840	1.00578430	1.42333460	0.15312368	0.14417145	0.14811426	-0.93387885	0.01824544	-0.00102411	0.06541200	0.97248261	0.14400372	0.03136588	0.06568512
0.31569405	41.54669900	14.17746500	2.31102530	1.01859990	1.42266490	0.15052762	0.14087348	0.14417086	-0.93787971	0.01782536	-0.00102527	0.06259097	0.94496428	0.14575376	0.04349169	0.06163374
0.32942363	43.35357100	14.28552500	2.28656090	1.03030270	1.42147030	0.14797945	0.13773817	0.14049719	-0.94140575	0.01734272	-0.00102503	0.05996637	0.91540858	0.14734573	0.05506366	0.05805672
0.34330532	45.18046100	14.38862900	2.26366370	1.04097700	1.41982200	0.14548823	0.13476348	0.13708285	-0.94452547	0.01684052	-0.00102455	0.05752838	0.88448208	0.14874305	0.06594470	0.05488542
0.35733363	47.02664700	14.48729800	2.24227540	1.05070000	1.41779330	0.14305528	0.13194558	0.13390420	-0.94729710	0.01635281	-0.00102420	0.05526202	0.85272464	0.14991895	0.07603009	0.05206177
0.37150315	48.89141600	14.58198000	2.22232950	1.05954440	1.41545660	0.14067723	0.12927931	0.13094064	-0.94976900	0.01590044	-0.00102396	0.05315266	0.82057104	0.15084554	0.08524180	0.04953743
